iter	Passed	Remaining
0	207	207323
1	208	104134
2	209	69695
3	210	52485
4	211	42171
5	213	35289
6	214	30433
7	216	26811
8	217	23946
9	219	21693
10	220	19826
11	221	18247
12	222	16910
13	223	15773
14	225	14793
15	226	13922
16	228	13194
17	230	12558
18	231	11966
19	233	11424
20	234	10926
21	235	10474
22	237	10072
23	238	9701
24	239	9357
25	241	9039
26	242	8744
27	243	8468
28	245	8209
29	246	7969
30	247	7747
31	249	7534
32	250	7338
33	251	7158
34	253	6986
35	254	6823
36	256	6664
37	257	6514
38	258	6370
39	259	6234
40	260	6103
41	262	5978
42	263	5861
43	264	5754
44	266	5647
45	267	5545
46	268	5450
47	270	5357
48	271	5266
49	272	5183
50	274	5101
51	275	5022
52	277	4952
53	278	4882
54	280	4811
55	281	4744
56	282	4677
57	284	4612
58	285	4550
59	286	4490
60	287	4429
61	288	4371
62	290	4314
63	291	4267
64	293	4218
65	294	4169
66	296	4122
67	296	4067
68	298	4023
69	299	3979
70	300	3936
71	302	3894
72	303	3851
73	304	3810
74	305	3772
75	307	3734
76	308	3695
77	309	3656
78	310	3621
79	311	3584
80	312	3548
81	313	3514
82	315	3480
83	316	3447
84	316	3412
85	318	3381
86	319	3348
87	320	3319
88	321	3291
89	322	3263
90	323	3236
91	325	3208
92	326	3182
93	327	3157
94	329	3137
95	330	3113
96	331	3089
97	333	3065
98	334	3042
99	335	3018
100	336	2996
101	337	2969
102	338	2947
103	339	2925
104	340	2905
105	342	2888
106	343	2867
107	344	2847
108	346	2828
109	347	2809
110	348	2790
111	349	2771
112	350	2751
113	351	2733
114	352	2716
115	353	2696
116	355	2680
117	356	2665
118	358	2651
119	359	2637
120	361	2624
121	362	2610
122	363	2591
123	364	2576
124	366	2562
125	367	2548
126	368	2532
127	369	2515
128	370	2502
129	372	2490
130	373	2477
131	375	2466
132	376	2455
133	378	2442
134	379	2429
135	380	2416
136	381	2404
137	382	2390
138	383	2377
139	385	2370
140	387	2360
141	388	2348
142	389	2336
143	391	2324
144	392	2313
145	393	2302
146	394	2290
147	395	2279
148	397	2268
149	398	2259
150	400	2249
151	401	2238
152	402	2228
153	403	2217
154	404	2207
155	406	2197
156	407	2187
157	408	2177
158	409	2167
159	410	2157
160	412	2148
161	413	2140
162	415	2132
163	416	2123
164	417	2114
165	419	2106
166	420	2098
167	421	2089
168	423	2081
169	424	2072
170	426	2065
171	427	2057
172	428	2049
173	429	2041
174	431	2033
175	432	2025
176	433	2016
177	434	2008
178	436	2000
179	437	1991
180	437	1981
181	439	1973
182	440	1966
183	441	1959
184	443	1952
185	444	1945
186	445	1938
187	447	1931
188	448	1925
189	450	1918
190	451	1911
191	452	1905
192	454	1898
193	455	1892
194	457	1886
195	458	1880
196	459	1873
197	460	1867
198	462	1860
199	463	1854
200	464	1847
201	466	1841
202	467	1835
203	468	1828
204	470	1823
205	471	1817
206	472	1811
207	474	1805
208	475	1799
209	476	1794
210	478	1788
211	479	1782
212	480	1776
213	482	1771
214	483	1766
215	485	1762
216	487	1757
217	488	1752
218	489	1747
219	491	1742
220	492	1737
221	494	1732
222	495	1727
223	497	1722
224	498	1717
225	500	1713
226	501	1709
227	503	1704
228	505	1700
229	506	1697
230	508	1693
231	510	1688
232	511	1684
233	513	1680
234	514	1676
235	516	1670
236	517	1666
237	519	1661
238	520	1657
239	521	1652
240	522	1646
241	524	1641
242	525	1637
243	527	1633
244	528	1630
245	530	1625
246	531	1621
247	533	1616
248	534	1611
249	535	1607
250	537	1603
251	538	1599
252	540	1595
253	542	1592
254	544	1589
255	545	1585
256	547	1582
257	549	1579
258	550	1574
259	551	1570
260	553	1566
261	554	1561
262	556	1558
263	557	1554
264	558	1549
265	560	1545
266	561	1541
267	562	1537
268	564	1533
269	565	1529
270	566	1524
271	568	1521
272	569	1516
273	570	1512
274	572	1508
275	573	1503
276	574	1500
277	576	1496
278	577	1492
279	578	1488
280	580	1484
281	581	1480
282	583	1477
283	584	1473
284	585	1469
285	586	1465
286	588	1461
287	589	1457
288	591	1454
289	592	1450
290	593	1446
291	594	1442
292	596	1439
293	597	1435
294	599	1432
295	600	1428
296	602	1425
297	603	1421
